Date, Close/Last, Volume, Open, High, Low
06/05/2020, $2483, 3306445, $2444.51, $2488.645, $2437.13
06/04/2020, $2460.6, 2948710, $2477.43, $2507.54, $2450.01
06/03/2020, $2478.4, 2671024, $2468.01, $2488, $2461.17
06/02/2020, $2472.41, 2529903, $2467, $2473.53, $2445.31
06/01/2020, $2471.04, 2938032, $2448, $2476.93, $2444.17
05/29/2020, $2442.37, 3529329, $2415.94, $2442.37, $2398.1973
05/28/2020, $2401.1, 3193136, $2384.33, $2436.9699, $2378.23
05/27/2020, $2410.39, 5056945, $2404.99, $2413.58, $2330
05/26/2020, $2421.86, 3568153, $2458, $2462, $2414.06
05/22/2020, $2436.88, 2867079, $2455.01, $2469.85, $2430.13
05/21/2020, $2446.74, 5114403, $2500, $2525.45, $2442.54
05/20/2020, $2497.94, 3998143, $2477.87, $2500.01, $2467.27
05/19/2020, $2449.33, 4320498, $2429.83, $2484.995, $2428.97
05/18/2020, $2426.26, 4366572, $2404.346, $2433, $2384.01
05/15/2020, $2409.78, 4234951, $2368.52, $2411, $2356.37
05/14/2020, $2388.85, 3648128, $2361.01, $2391.37, $2353.21
05/13/2020, $2367.92, 4782919, $2366.8, $2407.7, $2337.805
05/12/2020, $2356.95, 3074916, $2411.85, $2418.9999, $2355
05/11/2020, $2409, 3259231, $2374.7, $2419.665, $2372.11
05/08/2020, $2379.61, 3211228, $2372.14, $2387.2449, $2357
05/07/2020, $2367.61, 3396411, $2374.78, $2376, $2343.11
05/06/2020, $2351.26, 3117814, $2329.44, $2357.45, $2320
05/05/2020, $2317.8, 3242496, $2340, $2351, $2307.1251
05/04/2020, $2315.99, 4865926, $2256.38, $2326.98, $2256.38
05/01/2020, $2286.04, 9772605, $2336.8, $2362.44, $2258.1901
04/30/2020, $2474, 9534611, $2419.84, $2475, $2396.01
04/29/2020, $2372.71, 4591593, $2330.01, $2391.89, $2310
04/28/2020, $2314.08, 5269446, $2372.1, $2373.5, $2306
04/27/2020, $2376, 5645645, $2443.2, $2444.88, $2363
04/24/2020, $2410.22, 3831797, $2417, $2420.4332, $2382
04/23/2020, $2399.45, 5066552, $2399.98, $2424.22, $2382.08
04/22/2020, $2363.49, 4218295, $2369, $2394, $2351
04/21/2020, $2328.12, 7476679, $2416.61, $2428.3099, $2279.66
04/20/2020, $2393.61, 5770694, $2389.95, $2444.98, $2386.05
04/17/2020, $2375, 7930010, $2372.33, $2400, $2316.02
04/16/2020, $2408.19, 12038200, $2346, $2460.9981, $2335
04/15/2020, $2307.68, 6866567, $2257.68, $2333.369, $2245
04/14/2020, $2283.32, 8087193, $2200.47, $2292, $2186.21
04/13/2020, $2168.87, 6716709, $2040, $2180, $2038
04/09/2020, $2042.76, 4655617, $2044.3, $2053, $2017.66
04/08/2020, $2043, 3977313, $2021, $2044, $2011.15
04/07/2020, $2011.6, 5113983, $2017.11, $2035.72, $1997.62
04/06/2020, $1997.59, 5773181, $1936, $1998.52, $1930.02
04/03/2020, $1906.59, 3609870, $1911.15, $1926.33, $1889.15
04/02/2020, $1918.83, 4335985, $1901.64, $1927.5258, $1890
04/01/2020, $1907.7, 4121875, $1932.97, $1944.96, $1893
03/31/2020, $1949.72, 5123626, $1964.35, $1993.02, $1944.01
03/30/2020, $1963.95, 6126087, $1922.83, $1973.63, $1912.34
03/27/2020, $1900.1, 5387897, $1930.86, $1939.79, $1899.92
03/26/2020, $1955.49, 6235118, $1902, $1956.49, $1889.29
03/25/2020, $1885.84, 6479073, $1920.69, $1950.26, $1885.78
03/24/2020, $1940.1, 7147080, $1951.495, $1955, $1900.3403
03/23/2020, $1902.83, 7808489, $1827.75, $1919.4, $1812
03/20/2020, $1846.09, 9817850, $1926.31, $1957, $1820.73
03/19/2020, $1880.93, 10399940, $1860, $1945, $1832.65
03/18/2020, $1830, 9645218, $1750, $1841.66, $1745
03/17/2020, $1807.84, 10917130, $1775.47, $1857.775, $1689.2402
03/16/2020, $1689.15, 8917265, $1641.51, $1759.4519, $1626.0318
03/13/2020, $1785, 8809725, $1755, $1786.31, $1680.62
03/12/2020, $1676.61, 11346210, $1721.98, $1765, $1675
03/11/2020, $1820.86, 5646831, $1857.85, $1871.3194, $1801.5
03/10/2020, $1891.82, 7133310, $1870.88, $1894.27, $1818.17
03/09/2020, $1800.61, 7813232, $1773.86, $1862.77, $1761.2901
03/06/2020, $1901.09, 5273580, $1875, $1910.87, $1869.5
03/05/2020, $1924.03, 4748210, $1933, $1960.72, $1910
03/04/2020, $1975.83, 4772919, $1946.57, $1978, $1922
03/03/2020, $1908.99, 7534491, $1975.37, $1996.33, $1888.0901
03/02/2020, $1953.95, 6761651, $1906.49, $1954.51, $1870
02/28/2020, $1883.75, 9493797, $1814.63, $1889.76, $1811.129
02/27/2020, $1884.3, 8143993, $1934.38, $1975, $1882.7621
02/26/2020, $1979.59, 5240402, $1970.28, $2014.67, $1960.45
02/25/2020, $1972.74, 6219094, $2026.42, $2034.6, $1958.42
02/24/2020, $2009.29, 6546997, $2003.18, $2039.295, $1987.9742
02/21/2020, $2095.97, 4650740, $2142.15, $2144.55, $2088
02/20/2020, $2153.1, 3131342, $2173.07, $2176.79, $2127.45
02/19/2020, $2170.22, 2561165, $2167.8, $2185.1, $2161.12
02/18/2020, $2155.67, 2951070, $2125.02, $2166.07, $2124.105
02/14/2020, $2134.87, 2606169, $2155.68, $2159.0352, $2125.89
02/13/2020, $2149.87, 3031791, $2144.99, $2170.28, $2142
02/12/2020, $2160, 3334264, $2163.2, $2180.2494, $2155.29
02/11/2020, $2150.8, 5746011, $2150.9, $2185.95, $2136
02/10/2020, $2133.91, 5056235, $2085.01, $2135.6, $2084.96
02/07/2020, $2079.28, 5095347, $2041.99, $2098.53, $2038.1
02/06/2020, $2050.23, 3182954, $2041.02, $2056.3, $2024.8001
02/05/2020, $2039.87, 4376174, $2071.02, $2071.02, $2032
02/04/2020, $2049.67, 5289338, $2029.88, $2059.8, $2015.37
02/03/2020, $2004.2, 5899094, $2010.6, $2048.5, $2000.25
01/31/2020, $2008.72, 15567280, $2051.47, $2055.72, $2002.27
01/30/2020, $1870.68, 6327438, $1858, $1872.87, $1850.61
01/29/2020, $1858, 2101390, $1864, $1874.75, $1855.02
01/28/2020, $1853.25, 2808040, $1840.5, $1858.11, $1830.02
01/27/2020, $1828.34, 3528509, $1820, $1841, $1815.34
01/24/2020, $1861.64, 3766181, $1891.37, $1894.99, $1847.44
01/23/2020, $1884.58, 2484613, $1885.11, $1889.975, $1872.76
01/22/2020, $1887.46, 3216257, $1896.09, $1902.5, $1883.34
01/21/2020, $1892, 3707785, $1865, $1894.27, $1860
01/17/2020, $1864.72, 3997340, $1885.89, $1886.64, $1857.25
01/16/2020, $1877.94, 2659493, $1882.99, $1885.59, $1866.02
01/15/2020, $1862.02, 2896592, $1872.25, $1878.86, $1855.09
01/14/2020, $1869.44, 3446381, $1885.88, $1887.11, $1858.55
01/13/2020, $1891.3, 2785844, $1891.31, $1898, $1880.8
01/10/2020, $1883.16, 2856959, $1905.37, $1906.94, $1880
01/09/2020, $1901.05, 3174962, $1909.89, $1917.82, $1895.8038
01/08/2020, $1891.97, 3511966, $1898.04, $1910.9999, $1886.4448
01/07/2020, $1906.86, 4134010, $1904.5, $1913.89, $1892.0433
01/06/2020, $1902.88, 4065698, $1860, $1903.69, $1860
01/03/2020, $1874.97, 3766604, $1864.5, $1886.1965, $1864.5
01/02/2020, $1898.01, 4035910, $1875, $1898.01, $1864.15
12/31/2019, $1847.84, 2510380, $1842, $1853.26, $1832.23
12/30/2019, $1846.89, 3677306, $1874, $1884, $1840.62
12/27/2019, $1869.8, 6188754, $1882.92, $1901.4, $1866.01
12/26/2019, $1868.77, 6024608, $1801.01, $1870.46, $1799.5
12/24/2019, $1789.21, 881337, $1793.81, $1795.57, $1787.575
12/23/2019, $1793, 2137493, $1788.26, $1793, $1784.51
12/20/2019, $1786.5, 5152460, $1799.615, $1802.97, $1782.45
12/19/2019, $1792.28, 2738320, $1780.5, $1792.99, $1774.06
12/18/2019, $1784.03, 3354137, $1795.02, $1798.2, $1782.36
12/17/2019, $1790.66, 3646697, $1778.01, $1792, $1777.39
12/16/2019, $1769.21, 3149345, $1767, $1769.5, $1757.05
12/13/2019, $1760.94, 2747909, $1765, $1768.99, $1755
12/12/2019, $1760.33, 3103949, $1750, $1764, $1745.44
12/11/2019, $1748.72, 2101318, $1741.67, $1750, $1735.7102
12/10/2019, $1739.21, 2515644, $1747.4, $1750.67, $1735
12/09/2019, $1749.51, 2502489, $1750.66, $1766.8919, $1745.61
12/06/2019, $1751.6, 3119979, $1751.2, $1754.4, $1740.13
12/05/2019, $1740.48, 2827852, $1763.5, $1763.5, $1740
